EN	RU	DE	FR	IT	NL	PL	PT	ES	ZH-CN
Hoods	Вытяжки	Abzugshauben	Capots	Cappe	Hoods	Okapy	Hoods	Campanas	抽油烟机
Alarm Systems	Системы Сигнализации	Alarmanlagen	Systèmes D'Alarme	Sistemi Di Allarme	Alarm Systems	Systemy Alarmowe	Sistemas De Alarme	Sistemas De Alarma	报警系统
Battery Status	Заряд Батареи	Batteriestatus	État De La Batterie	Stato Della Batteria	Batterij Status	Stan Baterii	Estado Da Bateria	Estado De La Batería	电池状态
Lightings	Светильники	Beleuchtungen	Éclairages	Illuminazione	Verlichting	Oprawy Oświetleniowe	Iluminações	Iluminaciones	照明
Shading	Затенение	Beschattungen	Ombres	Ombreggiatura	Shading	Zacienienie	Shading	Sombreado	底纹
Irrigation	Орошение	Bewässerung	Irrigation	Irrigazione	Irrigatie	Nawadnianie	Irrigação	Irrigación	灌溉
Iron	Утюг	Bügeleisen	Le Fer	Ferro	Ijzer	Żelazo	Ferro	Hierro	铁
Computer	Компьютер	Computer	L'Ordinateur	Computer	Computer	Komputer	Computador	Ordenador	电脑
Ceiling Spotlights	Потолочные Прожекторы	Deckenspots	Plafond Spotlights	Faretti A Soffitto	Plafond Spotlights	Reflektory Sufitowe	Tecto Focos	Focos De Techo	天花射灯
Handle	Ручка	Drücker	Manipuler	Maniglia	Handvat	Uchwyt	Lidar Com	Resolver	处理
Power Consumption	Потребляемая Мощность	Energieverbrauch	Consommation D'Énergie	Consumo Di Energia	Energieverbruik	Pobór Energii	Consumo De Energia	El Consumo De Energía	能量消耗
Window	Окно	Fenster	La Fenêtre	Finestra	Venster	Okno	Janela	Ventana	窗户
Garage Doors	Гаражные Ворота	Garagentore	Portes De Garage	Garage Doors	Garage Doors	Bramy Garażowe	Portas De Garagem	Las Puertas De Garaje	车库门
Hairdryer	Фен	Haartrockner	Sèche-Cheveux	Asciugacapelli	Haardroger	Suszarka Do Włosów	Secador De Cabelo	Secador De Pelo	电吹风
Hanging Lamps	Подвесные Светильники	Hängelampen	Lampes Suspendues	Lampade A Sospensione	Opknoping Lampen	Lampy Wiszące	Lâmpadas De Suspensão	Lámparas Colgantes	挂灯
Doorstep	Порог	Haustüre	Seuil De Porte	Gradino Della Porta	Drempel	Próg	Porta	Peldaño	门阶
Hot Water	Горячая Вода	Heißwasser	Eau Chaude	Acqua Calda	Heet Water	Gorąca Woda	Água Quente	Agua Caliente	热水
Heater	Подогреватель	Heizung	Chauffe-Eau	Riscaldatore	Verwarmer	Podgrzewacz	Aquecedor	Calentador	加热器
Stove	Печь	Herd	Le Fourneau	Stufa	Fornuis	Kuchenka	Forno	Cocina	火炉
Louvre	Жалюзийное Отверстие	Jalousie	Persienne	Persiana Di Ventilazione	Louvre	Żaluzja	Trapeira	Lumbrera	卢浮宫
Coffee Makers	Кофеварки	Kaffemaschinen	Cafetières	Macchine Da Caffè	Koffie Makers	Ekspresy Do Kawy	Cafeteiras	Cafeteras	咖啡壶
Cold Water	Холодная Вода	Kaltwasser	Eau Froide	Acqua Fredda	Koud Water	Zimna Woda	Água Fria	Agua Fría	冷水
Climate	Климат	Klima	Climat	Clima	Klimaat	Klimat	Clima	Clima	气候
Speaker	Оратор	Lautsprecher	Orateur	Altoparlante	Spreker	Głośnik	Palestrante	Altavoz	扬声器
