EN	RU	DE	FR	IT	NL	PL	PT	ES	ZH-CN
Storeroom	Кладовая	Abstellraum	Débarras	Dispensa	Bergplaats	Magazyn	Despensa	Trastero	库房
Dressing Room	Гардеробная	Ankleide	Vestiaire	Camerino	Kleedkamer	Przebieralnia	Provador	Vestidor	更衣室
Workspace	Рабочая Среда	Arbeitszimmer	Espace De Travail	Area Di Lavoro	Workspace	Workspace	Área De Trabalho	Espacio De Trabajo	工作区
Driveway	Дорога	Auffahrt	Allée	Viale	Pad	Podjazd	Entrada Da Garagem	Entrada De Coches	车道
Outdoors	На Улице	Außenbereich	En Plein Air	All'Aperto	Buitenshuis	Na Dworze	Ao Ar Livre	Al Aire Libre	户外
Bathroom	Ванная Комната	Badezimmer	Salle De Bains	Bagno	Badkamer	Łazienka	Banheiro	Baño	浴室
Balcony	Балкон	Balkon	Balcon	Balcone	Balkon	Balkon	Sacada	Balcón	阳台
Office	Офис	Büro	Bureau	Ufficio	Kantoor	Gabinet	Escritório	Oficina	办公室
Carport	Навес	Carport	Carport	Posto Auto Coperto	Carport	Wiata	Telheiro	Cochera	车棚
Attic	Чердак	Dachgeschoss	Grenier	Attico	Zolder	Poddasze	Sótão	Ático	阁楼
Hall	Зал	Diele	Salle	Sala	Hal	Sala	Corredor	Sala	大厅
Entrance	Вход	Eingang	Entrée	Ingresso	Ingang	Wejście	Entrada	Entrada	入口
Ground Floor	Первый Этаж	Erdgeschoss	Rez-De-Chaussée	Piano Terra	Begane Grond	Parter	Térreo	Planta Baja	一楼
Dining Area	Столовая	Essbereich	Salle À Manger	Zona Pranzo	Eethoek	Jadalnia	Área De Refeições	Comedor	用餐区
Dining Room	Столовая	Esszimmer	Salle À Manger	Sala Da Pranzo	Eetkamer	Jadalnia	Sala De Jantar	Comedor	饭厅
Gym	Спортзал	Fitnessraum	Gym	Palestra	Sportschool	Siłownia	Ginásio	Gimnasio	健身房
Gallery	Галерея	Galerie	Galerie	Galleria	Galerij	Galeria	Galeria	Galería	画廊
Garage	Гараж	Garage	Garage	Box Auto	Garage	Garaż	Garagem	Garaje	车库
Wardrobe	Гардероб	Garderobe	Penderie	Armadio	Garderobe	Szafa	Guarda Roupa	Armario	衣柜
Garden	Сад	Garten	Jardin	Giardino	Tuin	Ogród	Jardim	Jardín	花园
Summer House	Дача	Gartenhaus	Maison D'Été	Casa Estiva	Zomerhuis	Domek Letniskowy	Summer House	Casa De Verano	凉亭
